country,iso3,seat,dimension,contribution_status,reason,failure_reason,confidence,evidence_count,recommendation
Austria,AUT,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,47.0
Austria,AUT,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,2,40.0
Austria,AUT,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,2,83.0
Austria,AUT,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,55.0
Austria,AUT,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,8,72.0
Austria,AUT,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,7,42.0
Austria,AUT,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.83,7,72.0
Austria,AUT,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,8,68.0
Austria,AUT,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,75.0
Austria,AUT,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,45.0
Austria,AUT,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,75.0
Austria,AUT,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,45.0
Morocco,MAR,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,3,20.0
Morocco,MAR,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,40.0
Morocco,MAR,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,2,60.0
Morocco,MAR,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,2,35.0
Morocco,MAR,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.88,11,18.0
Morocco,MAR,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,7,38.0
Morocco,MAR,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,7,62.0
Morocco,MAR,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.73,6,50.0
Morocco,MAR,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,5,40.0
Morocco,MAR,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,35.0
Morocco,MAR,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,70.0
Morocco,MAR,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,60.0
